,date,open,high,low,close,volume
0,2013-09-04,150000.0,180000.0,150000.0,180000.0,3.64
1,2013-09-05,150000.0,160000.0,150000.0,160000.0,1.4000000000000001
2,2013-09-06,145000.0,145000.0,145000.0,145000.0,0.2
3,2013-09-07,145000.0,145000.0,140000.0,140000.0,0.4
4,2013-09-08,141000.0,160000.0,141000.0,146000.0,0.8
5,2013-09-09,141000.0,160000.0,141000.0,146000.0,0.0
6,2013-09-10,142000.0,142000.0,142000.0,142000.0,0.24
7,2013-09-11,140000.0,140000.0,140000.0,140000.0,0.6
8,2013-09-12,144000.0,144000.0,144000.0,144000.0,0.22
9,2013-09-13,144000.0,144000.0,144000.0,144000.0,0.63
10,2013-09-14,135000.0,135000.0,135000.0,135000.0,0.1
11,2013-09-15,135000.0,135000.0,135000.0,135000.0,0.0
12,2013-09-16,135000.0,135000.0,135000.0,135000.0,0.0
13,2013-09-17,144000.0,144000.0,144000.0,144000.0,0.1
14,2013-09-18,144000.0,144000.0,144000.0,144000.0,0.1
15,2013-09-19,144000.0,144000.0,144000.0,144000.0,0.0
16,2013-09-20,144000.0,144000.0,144000.0,144000.0,0.4
17,2013-09-21,144000.0,144000.0,144000.0,144000.0,0.0
18,2013-09-22,144000.0,144000.0,144000.0,144000.0,0.0
19,2013-09-23,142000.0,142000.0,142000.0,142000.0,0.2
20,2013-09-24,142000.0,146000.0,142000.0,146000.0,4.18
21,2013-09-25,142000.0,148000.0,141000.0,148000.0,2.5
22,2013-09-26,147000.0,148000.0,147000.0,148000.0,2.5
23,2013-09-27,141000.0,148000.0,131000.0,148000.0,5.0468
24,2013-09-28,137000.0,148000.0,137000.0,148000.0,0.42930000000000007
25,2013-09-29,137000.0,148000.0,137000.0,148000.0,0.0
26,2013-09-30,148000.0,148000.0,147500.0,147500.0,2.4351351400000003
27,2013-10-01,140000.0,147500.0,140000.0,145000.0,2.3215243999999995
28,2013-10-02,140000.0,147500.0,140000.0,145000.0,0.0
29,2013-10-03,139000.0,139000.0,135000.0,135000.0,4.17814815
30,2013-10-04,139000.0,139000.0,135000.0,135000.0,0.0
31,2013-10-05,139000.0,139000.0,139000.0,139000.0,0.02852
32,2013-10-06,139000.0,140000.0,139000.0,140000.0,2.2279496
33,2013-10-07,140000.0,145000.0,138000.0,138000.0,1.57544495
34,2013-10-08,139000.0,145000.0,139000.0,145000.0,1.10345
35,2013-10-09,145000.0,145000.0,145000.0,145000.0,3.0
36,2013-10-10,142000.0,142000.0,139000.0,139000.0,0.496
37,2013-10-11,139500.0,139500.0,139500.0,139500.0,0.5295
38,2013-10-12,139500.0,142999.0,139100.0,142999.0,1.69897
39,2013-10-13,135000.0,135000.0,135000.0,135000.0,1.2025906100000001
40,2013-10-14,138777.0,139000.0,138777.0,139000.0,9.275
41,2013-10-15,143000.0,145000.0,140000.0,145000.0,10.438330689999999
42,2013-10-16,145000.0,168000.0,145000.0,147000.0,8.517494169999999
43,2013-10-17,147000.0,147000.0,144000.0,144000.0,1.5
44,2013-10-18,147000.0,170000.0,147000.0,170000.0,3.0
45,2013-10-19,170000.0,175480.0,170000.0,175480.0,5.5
46,2013-10-20,174000.0,175000.0,174000.0,175000.0,4.95
47,2013-10-21,179000.0,179000.0,160000.0,179000.0,35.22942000000001
48,2013-10-22,190000.0,198000.0,190000.0,198000.0,4.17
49,2013-10-23,197000.0,220000.0,197000.0,220000.0,13.613199999999999
50,2013-10-24,220000.0,250000.0,210100.0,249500.0,37.90840303
51,2013-10-25,220000.0,220000.0,200000.0,201000.0,1.4118214400000002
52,2013-10-26,201000.0,201000.0,200000.0,200000.0,4.13995
53,2013-10-27,205000.0,205000.0,205000.0,205000.0,0.5
54,2013-10-28,209000.0,245000.0,209000.0,225000.0,25.64065
55,2013-10-29,213000.0,259000.0,213000.0,259000.0,28.112876820000004
56,2013-10-30,230000.0,280000.0,220000.0,254000.0,59.767399999999995
57,2013-10-31,242000.0,275000.0,230000.0,240000.0,54.261282439999995
58,2013-11-01,231000.0,255000.0,231000.0,236000.0,83.54001999999998
59,2013-11-02,236000.0,247999.0,235000.0,235002.0,9.9807
60,2013-11-03,240000.0,240000.0,235000.0,235000.0,25.700910100000005
61,2013-11-04,239999.0,280000.0,239999.0,280000.0,129.72601073000004
62,2013-11-05,290000.0,290000.0,272000.0,282900.0,95.25825116000001
63,2013-11-06,276000.0,309000.0,265000.0,309000.0,156.38450788000003
64,2013-11-07,309000.0,408990.0,293000.0,408990.0,161.49508095000002
65,2013-11-08,389000.0,449999.0,355000.0,430000.0,226.44800078000003
66,2013-11-09,444999.0,446500.0,400000.0,440000.0,89.33573514
67,2013-11-10,444997.0,450000.0,345500.0,385000.0,84.79750000000001
68,2013-11-11,380100.0,441000.0,350000.0,441000.0,133.80684822999999
69,2013-11-12,420000.0,441000.0,390000.0,431000.0,76.85344414999997
70,2013-11-13,426200.0,449500.0,420000.0,449500.0,95.26202778
71,2013-11-14,449999.0,520000.0,446000.0,500000.0,179.00064613
72,2013-11-15,509998.0,511997.0,477000.0,510000.0,87.18286108000002
73,2013-11-16,511499.0,511500.0,480001.0,495000.0,35.074254
74,2013-11-17,508999.0,560000.0,495001.0,559999.0,144.24072165
75,2013-11-18,559998.0,800000.0,540201.0,718000.0,201.63061986999975
76,2013-11-19,714999.0,1250000.0,700000.0,820000.0,528.7580083200008
77,2013-11-20,820000.0,949999.0,565061.0,750000.0,402.2770825999999
78,2013-11-21,725001.0,890000.0,680000.0,888889.0,262.3771625899998
79,2013-11-22,850000.0,940000.0,850000.0,914999.0,249.85272821999996
80,2013-11-23,913999.0,1051811.0,886000.0,1001000.0,242.27313927000003
81,2013-11-24,1000000.0,1020000.0,920000.0,999000.0,106.96042436999998
82,2013-11-25,995000.0,1000000.0,940000.0,999000.0,213.59748749000005
83,2013-11-26,999000.0,1025000.0,951000.0,1020000.0,255.9868164
84,2013-11-27,1020000.0,1220000.0,1010000.0,1200000.0,454.1089130800002
85,2013-11-28,1200000.0,1400000.0,1100000.0,1381000.0,549.2259679700003
86,2013-11-29,1391000.0,1795000.0,1380000.0,1550001.0,720.9065534899977
87,2013-11-30,1550001.0,1670000.0,1500000.0,1518000.0,260.12031042999973
88,2013-12-01,1518000.0,1570000.0,1190000.0,1300000.0,448.4137908700001
89,2013-12-02,1300000.0,1325000.0,1000001.0,1170000.0,769.2667292499984
90,2013-12-03,1180000.0,1299000.0,1100000.0,1235000.0,651.5700400999993
91,2013-12-04,1234000.0,1320000.0,1210000.0,1260000.0,737.4709857599996
92,2013-12-05,1257000.0,1379000.0,900000.0,1130000.0,1478.8791344799934
93,2013-12-06,1139900.0,1179999.0,1070000.0,1093000.0,371.61186423999965
94,2013-12-07,1093001.0,1109000.0,600000.0,840000.0,1593.344709909998
95,2013-12-08,811000.0,900000.0,700000.0,780000.0,458.57447075999994
96,2013-12-09,780000.0,1010000.0,765200.0,920000.0,758.3163872700009
97,2013-12-10,920000.0,1048500.0,906000.0,1024000.0,452.3454310199992
98,2013-12-11,1024000.0,1126500.0,921000.0,1049700.0,690.8524707700001
99,2013-12-12,1047000.0,1047000.0,950000.0,970000.0,223.39045056999979
100,2013-12-13,975000.0,1015000.0,946500.0,950500.0,257.1858738599998
101,2013-12-14,950500.0,999980.0,945000.0,945000.0,124.30456333999992
102,2013-12-15,943100.0,960000.0,880000.0,924000.0,328.5233203800002
103,2013-12-16,923000.0,955000.0,851000.0,852500.0,291.71569352
104,2013-12-17,860000.0,879000.0,650000.0,720000.0,1201.2873709299986
105,2013-12-18,720000.0,744000.0,462000.0,552000.0,1519.2970531699928
106,2013-12-19,583999.0,699000.0,515001.0,650000.0,819.3047227600005
107,2013-12-20,650000.0,759999.0,630000.0,710000.0,617.91509052
108,2013-12-21,700000.0,700000.0,610000.0,639799.0,302.4033627100002
109,2013-12-22,635000.0,689000.0,625000.0,683999.0,102.57189925999995
110,2013-12-23,650000.0,684000.0,630000.0,660000.0,124.95662088999997
111,2013-12-24,660000.0,695000.0,648000.0,680000.0,233.73286413999992
112,2013-12-25,680000.0,689000.0,640000.0,680000.0,79.45199833999996
113,2013-12-26,680000.0,730000.0,671002.0,730000.0,283.55565416999997
114,2013-12-27,730000.0,798000.0,730000.0,750000.0,450.50300138
115,2013-12-28,750001.0,763999.0,735000.0,760000.0,110.02739189000003
116,2013-12-29,753000.0,755000.0,730000.0,754000.0,144.82805921000002
117,2013-12-30,735300.0,779000.0,735300.0,777777.0,228.62231906000008
118,2013-12-31,777777.0,781000.0,762200.0,764002.0,116.45201740999995
119,2014-01-01,764002.0,790000.0,764002.0,765004.0,61.76604651
120,2014-01-02,766000.0,790000.0,765900.0,771000.0,97.29778135000007
121,2014-01-03,780000.0,848500.0,770001.0,831000.0,292.9048143699998
122,2014-01-04,831100.0,847000.0,820000.0,842000.0,129.20694991
123,2014-01-05,847999.0,920000.0,847999.0,920000.0,201.36778382999998
124,2014-01-06,921000.0,1050000.0,921000.0,975000.0,463.90558168999974
125,2014-01-07,977000.0,1031000.0,913001.0,927100.0,309.3255784800003
126,2014-01-08,941000.0,970000.0,800000.0,873500.0,463.0327185900002
127,2014-01-09,873500.0,910000.0,850000.0,880000.0,219.99612026000014
128,2014-01-10,889000.0,940000.0,859000.0,885000.0,144.38963999000003
129,2014-01-11,891000.0,940000.0,890000.0,938000.0,147.97273087999997
130,2014-01-12,920000.0,950000.0,897000.0,918000.0,59.66888193
131,2014-01-13,920000.0,924000.0,861000.0,861000.0,205.78570375000004
132,2014-01-14,862000.0,927900.0,862000.0,881000.0,73.15899982999996
133,2014-01-15,900000.0,915000.0,882000.0,909999.0,89.82425203
134,2014-01-16,900001.0,930000.0,900000.0,911100.0,177.75929742999995
135,2014-01-17,915000.0,928000.0,886000.0,887000.0,188.03202606000005
136,2014-01-18,888000.0,900500.0,861000.0,885000.0,107.8134353999999
137,2014-01-19,889999.0,905000.0,882310.0,903900.0,51.13068385
138,2014-01-20,900000.0,920000.0,875000.0,901000.0,195.95092421
139,2014-01-21,900000.0,910000.0,895000.0,900000.0,83.9145967
140,2014-01-22,900000.0,915000.0,896000.0,904000.0,98.25850986000002
141,2014-01-23,899000.0,910000.0,890000.0,890100.0,132.88127507000004
142,2014-01-24,896000.0,896000.0,850000.0,850000.0,247.99498489
143,2014-01-25,860000.0,886000.0,855000.0,886000.0,44.17925044000001
144,2014-01-26,884999.0,904000.0,870001.0,892000.0,80.26649045999994
145,2014-01-27,892000.0,911000.0,881100.0,885003.0,125.32271694999997
146,2014-01-28,888000.0,890000.0,821100.0,889100.0,258.79319777999996
147,2014-01-29,872000.0,881000.0,836500.0,860000.0,74.05365558000001
148,2014-01-30,868000.0,878000.0,865000.0,865000.0,22.926701089999998
149,2014-01-31,872000.0,894500.0,870500.0,880100.0,29.423445649999998
150,2014-02-01,880100.0,900000.0,866000.0,889999.0,39.11522731000003
151,2014-02-02,895000.0,900000.0,890500.0,892300.0,47.906234150000024
152,2014-02-03,892300.0,909000.0,887000.0,900000.0,114.87247903000002
153,2014-02-04,896000.0,900000.0,890000.0,897450.0,64.18640132000002
154,2014-02-05,897450.0,897500.0,885501.0,885501.0,36.499481759999995
155,2014-02-06,885501.0,896900.0,851000.0,885999.0,198.69167794000006
156,2014-02-07,861500.0,885000.0,750000.0,822000.0,494.01206786
157,2014-02-08,830000.0,870000.0,798000.0,802200.0,123.12007699000006
158,2014-02-09,802200.0,825000.0,770700.0,813400.0,114.31225695999997
159,2014-02-10,813000.0,822000.0,700000.0,760000.0,387.05004701999985
160,2014-02-11,766999.0,795000.0,740000.0,776000.0,136.84627798
161,2014-02-12,776000.0,788000.0,720000.0,725112.0,160.0517134300001
162,2014-02-13,725389.0,745000.0,708000.0,717000.0,156.47714688999997
163,2014-02-14,716000.0,725000.0,610000.0,671001.0,445.5912607499993
164,2014-02-15,691000.0,749000.0,665001.0,693999.0,154.35015458000012
165,2014-02-16,693999.0,720000.0,675100.0,680000.0,95.52665318000001
166,2014-02-17,680000.0,719800.0,630000.0,688000.0,247.87207092999986
167,2014-02-18,700000.0,708000.0,678200.0,680000.0,135.5417696700001
168,2014-02-19,681000.0,700000.0,681000.0,686999.0,105.09253759
169,2014-02-20,686900.0,690000.0,637000.0,637000.0,218.99224734000026
170,2014-02-21,663000.0,663000.0,601001.0,640000.0,235.83710408999997
171,2014-02-22,649900.0,649900.0,612000.0,620000.0,100.31012237
172,2014-02-23,617002.0,687999.0,617002.0,673000.0,131.95761482
173,2014-02-24,673000.0,685000.0,622000.0,638850.0,152.17322398999994
174,2014-02-25,626001.0,645000.0,500000.0,570000.0,526.3227608500005
175,2014-02-26,565001.0,639000.0,565001.0,583000.0,238.77440994999978
176,2014-02-27,590000.0,625000.0,587000.0,613000.0,123.53515579999996
177,2014-02-28,613000.0,628100.0,595000.0,595000.0,118.01006254999986
178,2014-03-01,603000.0,618500.0,590000.0,590200.0,55.02916475
179,2014-03-02,590200.0,607000.0,590000.0,593000.0,43.580439070000004
180,2014-03-03,593000.0,613000.0,565000.0,608000.0,213.88429642999998
181,2014-03-04,611000.0,735000.0,605100.0,715000.0,313.0642467600001
182,2014-03-05,730000.0,738000.0,650000.0,694000.0,137.74755840000003
183,2014-03-06,694000.0,709999.0,683000.0,684000.0,67.574762
184,2014-03-07,684001.0,700000.0,650001.0,665000.0,126.43128152
185,2014-03-08,665000.0,677000.0,640001.0,656000.0,111.57373366000002
186,2014-03-09,655500.0,670000.0,636000.0,670000.0,71.33948439999999
187,2014-03-10,670000.0,674000.0,639800.0,641000.0,88.29072181000001
188,2014-03-11,663800.0,663800.0,642000.0,662000.0,38.95875026999999
189,2014-03-12,661000.0,671000.0,649100.0,669999.0,79.36007795000003
190,2014-03-13,669999.0,672000.0,660500.0,665556.0,26.098473370000004
191,2014-03-14,665556.0,695200.0,660011.0,688000.0,51.01835631000001
192,2014-03-15,686000.0,686000.0,663001.0,674000.0,14.21010286
193,2014-03-16,670001.0,679000.0,663000.0,672000.0,17.171856580000007
194,2014-03-17,672000.0,680000.0,655000.0,655100.0,56.57175367000002
195,2014-03-18,668500.0,670899.0,649000.0,660000.0,77.60496632000003
196,2014-03-19,650500.0,669500.0,650000.0,656000.0,55.78648243
197,2014-03-20,656000.0,669780.0,641500.0,641500.0,115.47778426000004
198,2014-03-21,641500.0,650000.0,610000.0,621000.0,82.23603766999997
199,2014-03-22,632000.0,638000.0,603000.0,616999.0,33.05734826000001
200,2014-03-23,602501.0,626298.0,602501.0,615000.0,15.085514969999998
